dataset,backbone,training_mode,baseline,attack_algo,model_name,epsilon,num_images,mean_success_rate,min_success_rate,max_success_rate,path
GTSRB,MobileNetV2,feature_extraction,PMA,FGSM,MobileNetV2_GTSRB_BAMA_stop_sim,8.0,50,0.09999999999999998,0.1,0.1,results_json/GTSRB/MobileNetV2/feature_extraction/PMA/FGSM/PMA_FGSM_MobileNetV2_GTSRB_BAMA_stop_sim_results.json
GTSRB,MobileNetV2,feature_extraction,PMA,CAN,MobileNetV2_GTSRB_BAMA_stop_sim,20.0,50,0.013199999999999998,0.0,0.02,results_json/GTSRB/MobileNetV2/feature_extraction/PMA/CAN/PMA_CAN_MobileNetV2_GTSRB_BAMA_stop_sim_results.json
GTSRB,MobileNetV2,feature_extraction,PMA,CW,MobileNetV2_GTSRB_BAMA_stop_sim,20.0,50,0.09999999999999998,0.1,0.1,results_json/GTSRB/MobileNetV2/feature_extraction/PMA/CW/PMA_CW_MobileNetV2_GTSRB_BAMA_stop_sim_results.json
GTSRB,MobileNetV2,feature_extraction,BAMA,FGSM,MobileNetV2_GTSRB_BAMA_stop_sim,8.0,50,0.8400000000000002,0.84,0.84,results_json/GTSRB/MobileNetV2/feature_extraction/BAMA/FGSM/BAMA_FGSM_MobileNetV2_GTSRB_BAMA_stop_sim_results.json
GTSRB,MobileNetV2,feature_extraction,BAMA,CAN,MobileNetV2_GTSRB_BAMA_stop_sim,20.0,50,0.012000000000000002,0.0,0.02,results_json/GTSRB/MobileNetV2/feature_extraction/BAMA/CAN/BAMA_CAN_MobileNetV2_GTSRB_BAMA_stop_sim_results.json
GTSRB,MobileNetV2,feature_extraction,BAMA,MIFGSM,MobileNetV2_GTSRB_BAMA_stop_sim,8.0,50,1.0,1.0,1.0,results_json/GTSRB/MobileNetV2/feature_extraction/BAMA/MIFGSM/BAMA_MIFGSM_MobileNetV2_GTSRB_BAMA_stop_sim_results.json
GTSRB,MobileNetV2,feature_extraction,BAMA,CW,MobileNetV2_GTSRB_BAMA_stop_sim,20.0,50,0.9,0.9,0.9,results_json/GTSRB/MobileNetV2/feature_extraction/BAMA/CW/BAMA_CW_MobileNetV2_GTSRB_BAMA_stop_sim_results.json
GTSRB,MobileNetV2,feature_extraction,BAMA,PGD,MobileNetV2_GTSRB_BAMA_stop_sim,8.0,50,1.0,1.0,1.0,results_json/GTSRB/MobileNetV2/feature_extraction/BAMA/PGD/BAMA_PGD_MobileNetV2_GTSRB_BAMA_stop_sim_results.json
GTSRB,MobileNetV2,feature_extraction,E-BAMA,FGSM,MobileNetV2_GTSRB_E-BAMA_stop_sim,8.0,50,0.96,0.96,0.96,results_json/GTSRB/MobileNetV2/feature_extraction/E-BAMA/FGSM/E-BAMA_FGSM_MobileNetV2_GTSRB_E-BAMA_stop_sim_results.json
GTSRB,MobileNetV2,feature_extraction,E-BAMA,CAN,MobileNetV2_GTSRB_E-BAMA_stop_sim,20.0,50,0.0,0.0,0.0,results_json/GTSRB/MobileNetV2/feature_extraction/E-BAMA/CAN/E-BAMA_CAN_MobileNetV2_GTSRB_E-BAMA_stop_sim_results.json
